"group","month_yr","n"
"acs","2016-07",207
"acs","2016-08",227
"acs","2016-09",196
"acs","2016-10",232
"acs","2016-11",247
"acs","2016-12",245
"acs","2017-01",217
"acs","2017-02",222
"acs","2017-03",244
"acs","2017-04",249
"acs","2017-05",293
"acs","2017-06",319
"acs","2017-07",306
"acs","2017-08",271
"acs","2017-09",271
"acs","2017-10",311
"acs","2017-11",273
"acs","2017-12",285
"acs","2018-01",280
"acs","2018-02",246
"acs","2018-03",262
"acs","2018-04",267
"acs","2018-05",291
"acs","2018-06",265
"acs","2018-07",223
"acs","2018-08",266
"acs","2018-09",263
"acs","2018-10",289
"acs","2018-11",262
"acs","2018-12",286
"acs","2019-01",287
"acs","2019-02",264
"acs","2019-03",294
"acs","2019-04",268
"acs","2019-05",267
"acs","2019-06",305
"acs","2019-07",274
"acs","2019-08",294
"acs","2019-09",276
"acs","2019-10",309
"acs","2019-11",281
"acs","2019-12",280
"acs","2020-01",257
"acs","2020-02",263
"acs","2020-03",230
"acs","2020-04",173
"acs","2020-05",237
"acs","2020-06",229
"acs","2020-07",292
"acs","2020-08",280
"acs","2020-09",308
"acs","2020-10",270
"acs","2020-11",239
"acs","2020-12",258
"acs","2021-01",262
"acs","2021-02",263
"acs","2021-03",314
"acs","2021-04",274
"acs","2021-05",297
"acs","2021-06",267
"acs","2021-07",269
"acs","2021-08",245
"acs","2021-09",239
"acs","2021-10",263
"acs","2021-11",228
"acs","2021-12",260
"acs","2022-01",285
"acs","2022-02",263
"acs","2022-03",299
"acs","2022-04",305
"acs","2022-05",282
"acs","2022-06",264
"acs","2022-07",239
"acs","2022-08",237
"acs","2022-09",249
"acs","2022-10",273
"acs","2022-11",245
"acs","2022-12",275
"acs","2023-01",305
"acs","2023-02",270
"acs","2023-03",291
"acs","2023-04",252
"acs","2023-05",101
"cardiomyopathy","2016-07",1695
"cardiomyopathy","2016-08",1698
"cardiomyopathy","2016-09",1655
"cardiomyopathy","2016-10",1721
"cardiomyopathy","2016-11",1685
"cardiomyopathy","2016-12",1611
"cardiomyopathy","2017-01",1809
"cardiomyopathy","2017-02",1664
